Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date,date,strain,country
OR041679,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27818-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2022-10-06,2022-10-06,OR041679,Sierra Leone
OR041680,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27879-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2023-01-17,2023-01-17,OR041680,Sierra Leone
OR041681,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27882-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2023-01-20,2023-01-20,OR041681,Sierra Leone
OR041682,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27807-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2022-09-12,2022-09-12,OR041682,Sierra Leone
OR041683,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-26293-2-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2021-07-31,2021-07-31,OR041683,Sierra Leone
OR041684,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27645-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2022-05-17,2022-05-17,OR041684,Sierra Leone
OR041686,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27785-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2022-08-11,2022-08-11,OR041686,Sierra Leone
OR041687,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-23362-2-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2021-02-08,2021-02-08,OR041687,Sierra Leone
OR113004,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (VHF) Laborarory",Sierra Leone,2023-07-19,G-27952-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2023-04-11,2023-04-11,OR113004,Sierra Leone
OR113005,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (VHF) Laborarory",Sierra Leone,2023-07-19,G-27961-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2023-04-18,2023-04-18,OR113005,Sierra Leone
OR113006,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (VHF) Laborarory",Sierra Leone,2023-07-19,G-7840-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2018-02-13,2018-02-13,OR113006,Sierra Leone
OR113007,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (VHF) Laborarory",Sierra Leone,2023-07-19,G-7843-2-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2018-02-20,2018-02-20,OR113007,Sierra Leone
OQ919511,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-24650-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2021-03-12,2021-03-12,OQ919511,Sierra Leone
OQ919512,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7821-5-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2018-01-28,2018-01-28,OQ919512,Sierra Leone
OQ919513,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7601-4-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2017-04-09,2017-04-09,OQ919513,Sierra Leone
OQ919514,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7661-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2017-08-03,2017-08-03,OQ919514,Sierra Leone
OQ919515,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-8410-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2019-12-26,2019-12-26,OQ919515,Sierra Leone
OQ919516,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7823-2-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2018-01-30,2018-01-30,OQ919516,Sierra Leone
OQ919517,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-27653-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2022-05-28,2022-05-28,OQ919517,Sierra Leone
OQ919518,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-8439-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2020-01-14,2020-01-14,OQ919518,Sierra Leone
OQ919519,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-27671-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2022-06-09,2022-06-09,OQ919519,Sierra Leone
OQ919520,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-20573-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2020-12-18,2020-12-18,OQ919520,Sierra Leone
OL774857,Mammarenavirus lassaense,"Ashraf,S., Love,H., Burton,C., Carmichael,S., Davis,C., Filipe,A.D., Roddy,S., Smollett,K., Summers,S., Tong,L., Richards,K.S., Thomson,E.C.","University of Glasgow, MRC Centre for Virus Research",United Kingdom,2022-12-10,,Mammarenavirus lassaense,complete,Sierra Leone,Sierra Leone,Homo sapiens,,2003,2003,OL774857,Sierra Leone
OL774859,Mammarenavirus lassaense,"Ashraf,S., Love,H., Burton,C., Carmichael,S., Davis,C., Filipe,A.D., Roddy,S., Smollett,K., Summers,S., Tong,L., Richards,K.S., Thomson,E.C.","University of Glasgow, MRC Centre for Virus Research",United Kingdom,2022-12-10,,Mammarenavirus lassaense,complete,Nigeria,Nigeria,Homo sapiens,blood,2009,2009,OL774859,Nigeria
OL774861,Mammarenavirus lassaense,"Ashraf,S., Love,H., Burton,C., Carmichael,S., Davis,C., Filipe,A.D., Roddy,S., Smollett,K., Summers,S., Tong,L., Richards,K.S., Thomson,E.C.","University of Glasgow, MRC Centre for Virus Research",United Kingdom,2022-12-10,,Mammarenavirus lassaense,complete,Nigeria,Nigeria,Homo sapiens,blood,1977,1977,OL774861,Nigeria
OL774863,Mammarenavirus lassaense,"Ashraf,S., Love,H., Burton,C., Carmichael,S., Davis,C., Filipe,A.D., Roddy,S., Smollett,K., Summers,S., Tong,L., Richards,K.S., Thomson,E.C.","University of Glasgow, MRC Centre for Virus Research",United Kingdom,2022-12-10,,Mammarenavirus lassaense,complete,Mali,Mali,Homo sapiens,blood,2009-02,2009-02,OL774863,Mali
OM791220,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-13,,Mammarenavirus lassaense,complete,Sierra Leone: Barlie,Sierra Leone,Mastomys natalensis,,2020-02-05,2020-02-05,OM791220,Sierra Leone
OM791222,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-13,,Mammarenavirus lassaense,complete,Sierra Leone: Largo,Sierra Leone,Mastomys natalensis,,2020-02-18,2020-02-18,OM791222,Sierra Leone
OM791226,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-13,,Mammarenavirus lassaense,complete,Sierra Leone: Kamasseh,Sierra Leone,Mastomys erythroleucus,,2019-04-17,2019-04-17,OM791226,Sierra Leone
OM791228,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-13,,Mammarenavirus lassaense,partial,Sierra Leone: Kamasseh,Sierra Leone,Mastomys natalensis,,2019-04-17,2019-04-17,OM791228,Sierra Leone
OM791230,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-13,,Mammarenavirus lassaense,complete,Sierra Leone: Kapethe,Sierra Leone,Mastomys natalensis,,2019-05-29,2019-05-29,OM791230,Sierra Leone
OM791232,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-13,,Mammarenavirus lassaense,complete,Sierra Leone: Kapethe,Sierra Leone,Mastomys natalensis,,2019-05-30,2019-05-30,OM791232,Sierra Leone
OM735968,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Bafodia,Sierra Leone,Mastomys natalensis,,2019-11-06,2019-11-06,OM735968,Sierra Leone
OM735970,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Largo,Sierra Leone,Mastomys natalensis,,2019-10-27,2019-10-27,OM735970,Sierra Leone
OM735972,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Largo,Sierra Leone,Mastomys natalensis,,2019-10-27,2019-10-27,OM735972,Sierra Leone
OM735974,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Barlie,Sierra Leone,Lophuromys sikapusi,,2019-10-11,2019-10-11,OM735974,Sierra Leone
OM735976,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Kapethe,Sierra Leone,Mastomys natalensis,,2019-10-03,2019-10-03,OM735976,Sierra Leone
OM735978,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Kapethe,Sierra Leone,Mastomys natalensis,,2019-10-03,2019-10-03,OM735978,Sierra Leone
OM735980,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Bafodia,Sierra Leone,Mastomys natalensis,,2019-09-08,2019-09-08,OM735980,Sierra Leone
